index,convolution layer,mAP,pre-trained task
0,0,0.5701,COCO2017
1,5,0.6301,COCO2017
2,10,0.6674,COCO2017
3,15,0.6729,COCO2017
4,20,0.6689,COCO2017
5,25,0.6668,COCO2017
6,30,0.6371,COCO2017
7,35,0.6663,COCO2017
8,40,0.6396,COCO2017
9,45,0.6416,COCO2017
10,49,0.6371,COCO2017
11,0,0.6102,COCO2017
12,5,0.6384,COCO2017
13,10,0.6732,COCO2017
14,15,0.6549,COCO2017
15,20,0.6668,COCO2017
16,25,0.6585,COCO2017
17,30,0.6553,COCO2017
18,35,0.6424,COCO2017
19,40,0.6341,COCO2017
20,45,0.6378,COCO2017
21,49,0.6371,COCO2017
